Time resolution is 1 ps
Time = 4520000 | data_in = eaa7 | data_out = 9ec6 | rst = 0
Time = 4530000 | data_in = eaa7 | data_out = 9028 | rst = 0
Time = 4540000 | data_in = da56 | data_out = 9028 | rst = 0
Time = 4550000 | data_in = da56 | data_out = 8b3d | rst = 0
Time = 4560000 | data_in = a5ac | data_out = 8b3d | rst = 0
Time = 4570000 | data_in = a5ac | data_out = 95fa | rst = 0
Time = 4580000 | data_in = 9570 | data_out = 95fa | rst = 0
Time = 4590000 | data_in = 9570 | data_out = a0c9 | rst = 0
Time = 4600000 | data_in = c020 | data_out = a0c9 | rst = 0
Time = 4610000 | data_in = c020 | data_out = 9c11 | rst = 0
Time = 4620000 | data_in = eadb | data_out = 9c11 | rst = 0
Time = 4630000 | data_in = eadb | data_out = 8dc8 | rst = 0
Time = 4640000 | data_in = dabe | data_out = 8dc8 | rst = 0
Time = 4650000 | data_in = dabe | data_out = 8934 | rst = 0
Time = 4660000 | data_in = a647 | data_out = 8934 | rst = 0
Time = 4670000 | data_in = a647 | data_out = 9447 | rst = 0
Time = 4680000 | data_in = 963f | data_out = 9447 | rst = 0
Time = 4690000 | data_in = 963f | data_out = 9f6c | rst = 0
Time = 4700000 | data_in = c122 | data_out = 9f6c | rst = 0
Time = 4710000 | data_in = c122 | data_out = 9b0c | rst = 0
Time = 4720000 | data_in = ec10 | data_out = 9b0c | rst = 0
Time = 4730000 | data_in = ec10 | data_out = 8d1a | rst = 0
Time = 4740000 | data_in = dc26 | data_out = 8d1a | rst = 0
Time = 4750000 | data_in = dc26 | data_out = 88dd | rst = 0
Time = 4760000 | data_in = a7e2 | data_out = 88dd | rst = 0
Time = 4770000 | data_in = a7e2 | data_out = 9447 | rst = 0
Time = 4780000 | data_in = 980c | data_out = 9447 | rst = 0
Time = 4790000 | data_in = 980c | data_out = 9fc4 | rst = 0
Time = 4800000 | data_in = c322 | data_out = 9fc4 | rst = 0
Time = 4810000 | data_in = c322 | data_out = 9bba | rst = 0
Time = 4820000 | data_in = ee42 | data_out = 9bba | rst = 0
Time = 4830000 | data_in = ee42 | data_out = 8e20 | rst = 0
Time = 4840000 | data_in = de89 | data_out = 8e20 | rst = 0
Time = 4850000 | data_in = de89 | data_out = 8a39 | rst = 0
Time = 4860000 | data_in = aa76 | data_out = 8a39 | rst = 0
Time = 4870000 | data_in = aa76 | data_out = 95fa | rst = 0
Time = 4880000 | data_in = 9ad1 | data_out = 95fa | rst = 0
Time = 4890000 | data_in = 9ad1 | data_out = a1cd | rst = 0
Time = 4900000 | data_in = c617 | data_out = a1cd | rst = 0
Time = 4910000 | data_in = c617 | data_out = 9e1a | rst = 0
Time = 4920000 | data_in = f167 | data_out = 9e1a | rst = 0
Time = 4930000 | data_in = f167 | data_out = 90d5 | rst = 0
Time = 4940000 | data_in = e1de | data_out = 90d5 | rst = 0
Time = 4950000 | data_in = e1de | data_out = 8d43 | rst = 0
Time = 4960000 | data_in = adfa | data_out = 8d43 | rst = 0
Time = 4970000 | data_in = adfa | data_out = 9959 | rst = 0
Time = 4980000 | data_in = 9e83 | data_out = 9959 | rst = 0
Time = 4990000 | data_in = 9e83 | data_out = a580 | rst = 0
Time = 5000000 | data_in = c9f7 | data_out = a580 | rst = 0
